Sensor 1 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+6.30615234 -4.69775391 +1.08544922 +177.47314453 -10.94238281 -3.84521484 +1489583519.63389990 +724
+6.30615234 -4.69335938 +1.08544922 +177.47314453 -10.94238281 -3.84521484 +1489583519.63879990 +724
+6.30615234 -4.69335938 +1.08984375 +177.47314453 -10.94238281 -3.82324219 +1489583519.64369990 +724
+6.30615234 -4.69335938 +1.08984375 +177.47314453 -10.92041016 -3.82324219 +1489583519.64850000 +724
+6.30615234 -4.68896484 +1.08984375 +177.45117188 -10.92041016 -3.82324219 +1489583519.65339990 +724
+6.30175781 -4.68896484 +1.08984375 +177.45117188 -10.89843750 -3.80126953 +1489583519.65829990 +724
+6.30175781 -4.68896484 +1.08544922 +177.45117188 -10.89843750 -3.80126953 +1489583519.66310000 +724
+6.30175781 -4.68896484 +1.08544922 +177.45117188 -10.89843750 -3.80126953 +1489583519.66800000 +724
+6.30175781 -4.68457031 +1.08544922 +177.45117188 -10.87646484 -3.80126953 +1489583519.67290000 +724
+6.30175781 -4.68457031 +1.08544922 +177.45117188 -10.87646484 -3.77929688 +1489583519.67770000 +724
+6.30175781 -4.68457031 +1.08544922 +177.45117188 -10.87646484 -3.77929688 +1489583519.68260000 +724
+6.30175781 -4.68457031 +1.08544922 +177.45117188 -10.85449219 -3.77929688 +1489583519.68750000 +724
+6.30175781 -4.68457031 +1.08544922 +177.45117188 -10.85449219 -3.77929688 +1489583519.69230010 +724
+6.30175781 -4.68457031 +1.08105469 +177.45117188 -10.83251953 -3.77929688 +1489583519.69720010 +724
+6.30175781 -4.68017578 +1.08105469 +177.45117188 -10.83251953 -3.75732422 +1489583519.70199990 +720
+6.30175781 -4.68017578 +1.08105469 +177.45117188 -10.81054688 -3.75732422 +1489583519.70689990 +720
+6.30175781 -4.68017578 +1.08105469 +177.45117188 -10.81054688 -3.75732422 +1489583519.71180010 +720
+6.30175781 -4.68017578 +1.07666016 +177.42919922 -10.78857422 -3.75732422 +1489583519.71659990 +720
+6.30175781 -4.68017578 +1.07666016 +177.42919922 -10.76660156 -3.73535156 +1489583519.72149990 +720
+6.30175781 -4.67578125 +1.07226563 +177.42919922 -10.76660156 -3.73535156 +1489583519.72639990 +720
+6.30175781 -4.67578125 +1.07226563 +177.42919922 -10.74462891 -3.73535156 +1489583519.73120000 +720
+6.30175781 -4.67578125 +1.06787109 +177.42919922 -10.72265625 -3.73535156 +1489583519.73610000 +720
+6.30175781 -4.67578125 +1.06347656 +177.42919922 -10.70068359 -3.71337891 +1489583519.74099990 +720
+6.30175781 -4.67578125 +1.06347656 +177.40722656 -10.67871094 -3.71337891 +1489583519.74580000 +720
+6.30175781 -4.67138672 +1.05908203 +177.40722656 -10.65673828 -3.69140625 +1489583519.75070000 +720
+6.30175781 -4.67138672 +1.05468750 +177.40722656 -10.63476563 -3.69140625 +1489583519.75560000 +720
+6.30175781 -4.67138672 +1.05468750 +177.40722656 -10.61279297 -3.66943359 +1489583519.76040010 +716
+6.30175781 -4.67138672 +1.05029297 +177.38525391 -10.59082031 -3.64746094 +1489583519.76530000 +716
+6.30175781 -4.67138672 +1.04589844 +177.38525391 -10.56884766 -3.64746094 +1489583519.77020000 +716
+6.30175781 -4.67138672 +1.04150391 +177.38525391 -10.54687500 -3.62548828 +1489583519.77500010 +716
+6.30175781 -4.67138672 +1.04150391 +177.36328125 -10.52490234 -3.60351563 +1489583519.77990010 +716
+6.30615234 -4.66699219 +1.03710938 +177.36328125 -10.50292969 -3.60351563 +1489583519.78469990 +716
+6.30615234 -4.66699219 +1.03271484 +177.36328125 -10.48095703 -3.58154297 +1489583519.78959990 +716
+6.30615234 -4.66699219 +1.03271484 +177.36328125 -10.45898438 -3.55957031 +1489583519.79450010 +716
+6.30615234 -4.66699219 +1.02832031 +177.34130859 -10.43701172 -3.53759766 +1489583519.79930000 +716
+6.30615234 -4.66699219 +1.02392578 +177.34130859 -10.41503906 -3.53759766 +1489583519.80419990 +716
+6.30615234 -4.66699219 +1.02392578 +177.34130859 -10.39306641 -3.51562500 +1489583519.80909990 +712
+6.30615234 -4.66699219 +1.01953125 +177.34130859 -10.37109375 -3.49365234 +1489583519.81390000 +712
+6.31054688 -4.66699219 +1.01953125 +177.34130859 -10.34912109 -3.47167969 +1489583519.81880000 +712
+6.31054688 -4.66699219 +1.01513672 +177.31933594 -10.32714844 -3.44970703 +1489583519.82370000 +712
+6.31054688 -4.66699219 +1.01513672 +177.31933594 -10.30517578 -3.44970703 +1489583519.82850000 +712
+6.31054688 -4.66699219 +1.01513672 +177.31933594 -10.28320313 -3.42773438 +1489583519.83340000 +712
+6.31054688 -4.66699219 +1.01074219 +177.31933594 -10.28320313 -3.40576172 +1489583519.83830000 +712
+6.31054688 -4.67138672 +1.01074219 +177.31933594 -10.26123047 -3.38378906 +1489583519.84310010 +712
+6.31494141 -4.67138672 +1.01074219 +177.31933594 -10.23925781 -3.36181641 +1489583519.84800000 +712
+6.31494141 -4.67138672 +1.00634766 +177.31933594 -10.21728516 -3.33984375 +1489583519.85290000 +712
+6.31494141 -4.67138672 +1.00634766 +177.31933594 -10.21728516 -3.33984375 +1489583519.85770010 +712
+6.31494141 -4.67138672 +1.00634766 +177.31933594 -10.19531250 -3.31787109 +1489583519.86260010 +712
+6.31494141 -4.67138672 +1.00634766 +177.31933594 -10.19531250 -3.29589844 +1489583519.86750010 +712
+6.31494141 -4.67138672 +1.00634766 +177.31933594 -10.19531250 -3.29589844 +1489583519.87229990 +708
+6.31494141 -4.67578125 +1.00634766 +177.31933594 -10.17333984 -3.27392578 +1489583519.87719990 +708
+6.31494141 -4.67578125 +1.00634766 +177.31933594 -10.17333984 -3.27392578 +1489583519.88200000 +708
